,ro,rup,rup_std,rup_cun,en,es,fr,split
734,"dona, auzind tărășenia, se duce așa nechemat, drept la biserică, unde urma să fie cununia.","dona si scoală, acl'imat-neacl'imat, ș-tradze îndreptu la bisearică, iu vreas-facă încrunarea.","dona si scoală, acľimat-neacľimat, ș-trad̦e îndreptu la bisearică, iu vreas-facă încrunarea.","dona si scoalã, acljimat-neacljimat, sh-tradze ãndreptu la bisearicã, iu vreas-facã ãncrunarea.","the lady, hearing the commotion, went so unmarried, straight to the church, where the wedding was to take place.","la dama, al oír el alboroto, se dirigió -tan soltera- directamente a la iglesia, donde iba a celebrarse la boda.","la dame, entendant l'agitation, se rendit elle qui n'était pas mariée directement à l'église où le mariage devait avoir lieu.",train
735,"când să-i binecuvânteze popa, la cununie: stați așa! strigă el. nu ăsta a scăpat-o de moarte!","cît lo preftul s-bagă vluitolu, s-l'i-ncrună: staț! gri nîs. aestu nu-i omlu țe-l'i ascăpă bana!","cît lo preftul s-bagă vluitolu, s-ľi-ncrună: staț! gri nîs. aestu nu-i omlu țe-ľi ascăpă bana!","cãt lo preftul s-bagã vluitolu, s-lji-ncrunã: stats! gri nãs. aestu nu-i omlu tse-lji ascãpã bana!",when the priest blessed them at the wedding: hold on! he shouted. that didn't save her from death!,"cuando el cura los bendijo en la boda: ¡espera!, gritó. eso no la salvó de la muerte.","lorsque le prêtre les a bénis lors du mariage: tenez bon, a-t-il crié. cela ne l'a pas sauvée de la mort !.",train
736,"fata de împărat, cum îl văzu, i se însenină sufletul.","feata de-amiră cîtu-l vidzu, acață s-u gîdîlică tu inimă.","feata de-amiră cîtu-l vid̦u, acață s-u gîdîlică tu inimă.","feata de-amirã cãtu-l vidzu, acatsã s-u gãdãlicã tu inimã.","the emperor's face, as she saw him, brightened her soul.","el rostro del emperador, al verlo, le alegró el alma.","le visage de l'empereur, lorsqu'elle le vit, illumina son âme.",train
737,"cum-necum, a ajuns voinicul înaintea împăratului. harapul, și el, ca să-și apere cinstea, îl învinuia pe dona că ar minți.","cum fu, cum nu fu, lu scoasiră la amirălu. aoa, viñi ș-araplu, să-și caftă tiñiea, că taha lu arușină fără dreptate dona.","cum fu, cum nu fu, lu scoasiră la amirălu. aoa, vińi ș-araplu, să-și caftă tińiea, că taha lu arușină fără dreptate dona.","cum fu, cum nu fu, lu scoasirã la amirãlu. aoa, vinji sh-araplu, sã-shi caftã tinjiea, cã taha lu arushinã fãrã dreptate dona.","as-necum, he got the bully before the emperor. the harpy, too, to defend his honour, blamed dona that he would lie.","as-necum, llevó al matón ante el emperador. la arpía, también, para defender su honor, culpó a dona que mentiría.","il a fait comparaître le tyran devant l'empereur. la harpie, elle aussi, pour défendre son honneur, accusa dona qu'il mentirait.",train
738,"după ce turui harapul așa, destul, îl ascultară și pe dona.","după țe zbură araplu țe zbură, ascultară s-veadă țe va grească ș-dona.","după țe zbură araplu țe zbură, ascultară s-veadă țe va grească ș-dona.","dupã tse zburã araplu tse zburã, ascultarã s-veadã tse va greascã sh-dona.","after he had turned the harp that way enough, they listened to dona.","cuando hubo girado el arpa lo suficiente, escucharon a dona.","après avoir tourné la harpe dans ce sens, ils écoutèrent dona.",train
739,"uitasem să spun, harapul retezase cele nouă capete ale balaurului, și le-adusese cu el, drept mărturie a vitejiei sale...","araplu, agîrșii s-u dzîc avea tăl'eată noaule capite ali lamñe, ș-le-avea adusă tră mărtirie.","araplu, agîrșii s-u d̦îc avea tăľeată noaule capite ali lamńe, ș-le-avea adusă tră mărtirie.","araplu, agãrshii s-u dzãc avea tãljeatã noaule capite ali lamnje, sh-le-avea adusã trã mãrtirie.","i forgot to say, the harp had cut off the nine heads of the dragon, and brought them with him, as a testimony of his bravery...","olvidé decir, el arpa había cortado las nueve cabezas del dragón, y las había traído consigo, como testimonio de su valentía...","j'ai oublié de dire que la harpe avait coupé les neuf têtes du dragon et les avait emportées avec elle, en témoignage de sa bravoure...",train
740,vorbi acum și dona:,atumțea dona lă dzîse:,atumțea dona lă d̦îse:,atumtsea dona lã dzãse:,now dona is talking:,ahora habla dona:,"maintenant, c'est dona qui parle:",train
741,- întreba-v-aș: ați mai pomenit capete fără limbi?,"- nu vă întreb, se-află capite fără limbe iuva?","- nu vă întreb, se-află capite fără limbe iuva?","- nu vã ãntreb, se-aflã capite fãrã limbe iuva?",- i would ask you: have you ever mentioned heads without tongues?,- me gustaría preguntarle: ¿alguna vez ha mencionado cabezas sin lenguas?,- je vous pose la question: avez-vous déjà parlé de têtes sans langues ?,train
742,- n-am pomenit! grăi împăratul.,- nu! gri amirălu.,- nu! gri amirălu.,- nu! gri amirãlu.,- i didn't mention it! said the emperor.,"- yo no lo he dicho, dijo el emperador.","- je n'en ai pas parlé, dit l'empereur.",train
743,"- atunci, ia luați seama la capetele balaurului: unde li-s limbile?","- macă, nu! ia mutrițl'i capitle di lamñe: au eale limbi?","- macă, nu! ia mutrițľi capitle di lamńe: au eale limbi?","- macã, nu! ia mutritslji capitle di lamnje: au eale limbi?",- then consider the heads of the dragon: where are their tongues?,- entonces considera las cabezas del dragón: ¿dónde están sus lenguas?,- considérez donc les têtes du dragon: où sont leurs langues ?,train
744,"se uită ei, toate erau fără limbi!","bagă di mutrescu capitle, le-află tute fără limbi!","bagă di mutrescu capitle, le-află tute fără limbi!","bagã di mutrescu capitle, le-aflã tute fãrã limbi!","they looked, they were all without tongues!","miraron, ¡todos estaban sin lengua!","ils ont regardé, ils étaient tous dépourvus de langue !",train
745,"harapul, că hâr!, că mâr!, se apăra și el, că a tăiat și limbile, dar nu mai știe ce-a făcut cu ele, și-așa, și pe dincolo... nimic! vorbele lui au fost în vânt, fiindcă dona a și scos limbile din sân, unde le-ascunsese, și le dădu împăratului, să le vadă.","acață araplu si s-apără, că nîs lă li tăl'e, ma nu știe țe li feațe, că ună, că altă... țiva! zboarăle a lui nu-acață loc, că dona li scoase din sin, limbile, ș-l'i li deade amirălui, s-le veadă.","acață araplu si s-apără, că nîs lă li tăľe, ma nu știe țe li feațe, că ună, că altă... țiva! zboarăle a lui nu-acață loc, că dona li scoase din sin, limbile, ș-ľi li deade amirălui, s-le veadă.","acatsã araplu si s-apãrã, cã nãs lã li tãlje, ma nu shtie tse li featse, cã unã, cã altã... tsiva! zboarãle a lui nu-acatsã loc, cã dona li scoase din sin, limbile, sh-lji li deade amirãlui, s-le veadã.","the harp, that paper, that bitch, defended himself, that he cut out the tongues, but he doesn't know what he did with them, and so on... nothing! his words were in the wind, for dona also took out the tongues from her bosom, where she had hidden them, and gave them to the emperor to see.","el arpa, ese papel, esa perra, se defendió, que cortó las lenguas, pero no sabe qué hizo con ellas, y así... ¡nada! sus palabras se las llevó el viento, pues doña también sacó las lenguas de su seno, donde las había escondido, y se las dio a ver al emperador.","la harpe, ce papier, cette salope, s'est défendu, qu'il a coupé les langues, mais qu'il ne sait pas ce qu'il en a fait, et ainsi de suite.... rien ! ses paroles se sont envolées, car dona aussi a sorti les langues de son sein, où elle les avait cachées, et les a données à voir à l'empereur.",train
746,"când o chemară și pe fata împăratului, să spună și ea cum și ce-i, a arătat și dânsa adevărul, din cap până-n coadă.","cîndu-l'i griră și-a hil'il'ei di amiră, s-dzîcă ș-nîsă țe-i și țe nu-i, aspuse ș-ea alihea, din cap pînă-n coadă.","cîndu-ľi griră și-a hiľiľei di amiră, s-d̦îcă ș-nîsă țe-i și țe nu-i, aspuse ș-ea alihea, din cap pînă-n coadă.","cãndu-lji grirã shi-a hiljiljei di amirã, s-dzãcã sh-nãsã tse-i shi tse nu-i, aspuse sh-ea alihea, din cap pãnã-n coadã.","when they called the emperor's daughter to tell how and what she was, she also showed the truth from head to tail.","cuando llamaron a la hija del emperador para que contara cómo y qué era, ella también mostró la verdad de pies a cabeza.","lorsqu'ils ont appelé la fille de l'empereur pour qu'elle dise comment et ce qu'elle était, elle a également montré la vérité de la tête à la queue.",train
747,"și mi-lprind atunci pe harap, și mi ți-l leagă de doi cai sălbateci, și-i plesnesc pe ăștia peste dosuri, de-l făcură tot ciosvârte și hartane! după care, dona se însură cu fata de împărat. la masă însă, împăratul suspină, înainte de-a duce ceva la gură. când se sfârși masa, iar suspină!","lu acață atumțea pri arap, îl leagă di doi cal'i aγri, și cîndu lă da unăpriste păltări, armuri-armuri lu scoasiră. apoia, dona si-nsură cu feata di amiră și, trîș cîndu șidzură pri measă, ninte țe s-acață s-mîcă, scoase un suschir amirălu. cîndu s-mută measa, amirălu suschiră ninga nă oară.","lu acață atumțea pri arap, îl leagă di doi caľi ayri, și cîndu lă da unăpriste păltări, armuri-armuri lu scoasiră. apoia, dona si-nsură cu feata di amiră și, trîș cîndu șid̦ură pri measă, ninte țe s-acață s-mîcă, scoase un suschir amirălu. cîndu s-mută measa, amirălu suschiră ninga nă oară.","lu acatsã atumtsea pri arap, ãl leagã di doi calji ayri, shi cãndu lã da unãpriste pãltãri, armuri-armuri lu scoasirã. apoia, dona si-nsurã cu feata di amirã shi, trãsh cãndu shidzurã pri measã, ninte tse s-acatsã s-mãcã, scoase un suschir amirãlu. cãndu s-mutã measa, amirãlu suschirã ninga nã oarã.","and then they take my harp, and tie it to two wild horses, and slap them on their backs, so that they make it all whinnying and neighing! after which, dona married the emperor's daughter. but at the table, the emperor sighs before he can put anything in his mouth. when the meal is over, he sighs again!","y luego cogen mi arpa, la atan a dos caballos salvajes y les dan una palmada en el lomo, de modo que la hacen... ¡todo relinchos y relinchos! después de lo cual, doña se casó con la hija del emperador. pero en la mesa, el emperador suspira antes de poder llevarse nada a la boca. cuando termina la comida, vuelve a suspirar.","puis ils prennent ma harpe, l'attachent à deux chevaux sauvages et les frappent sur le dos, de sorte qu'ils la font hennir et hennir ! après quoi, dona épouse la fille de l'empereur. mais à table, l'empereur soupire avant de pouvoir mettre quoi que ce soit dans sa bouche. à la fin du repas, il soupire à nouveau !",train
748,"- ce te-apasă, mărite doamne? îl întrebă de astă dată dona.","- țe ț-u dorlu, mărite amiră, întribă atumțea dona.","- țe ț-u dorlu, mărite amiră, întribă atumțea dona.","- tse ts-u dorlu, mãrite amirã, ãntribã atumtsea dona.","- what's the matter, my lord? asked dona this time.","- ¿qué ocurre, milord?, preguntó esta vez dona.","- qu'y a-t-il, monseigneur ? demanda cette fois dona.",train
749,"- cum să-ți spun, fiule? că mai am eu un cui în inimă: în ciumata ceea de pădure e un vad rău; de câte ori îmi trecu oștirea pe acolo, înapoi nu s-a mai întors! de-aș scăpa și de necazul ăsta nimic nu mi-ar mai trebui pe lume.","- țe s-hibă, hil'iu! mași nă penură am ninga tu inimă: tru pădurea împușcl'eată, easte nă cale arauă; di cîte ori ñi-are tricută ascherea pri aclo, nîpoi nu-ñi se-are turnată. s-putearim s-ascap ș-de-aestă, tute bunile vrea s-le-am pri loc.","- țe s-hibă, hiľiu! mași nă penură am ninga tu inimă: tru pădurea împușcľeată, easte nă cale arauă; di cîte ori ńi-are tricută ascherea pri aclo, nîpoi nu-ńi se-are turnată. s-putearim s-ascap ș-de-aestă, tute bunile vrea s-le-am pri loc.","- tse s-hibã, hiljiu! mashi nã penurã am ninga tu inimã: tru pãdurea ãmpushcljeatã, easte nã cale arauã; di cãte ori nji-are tricutã ascherea pri aclo, nãpoi nu-nji se-are turnatã. s-putearim s-ascap sh-de-aestã, tute bunile vrea s-le-am pri loc.","- how shall i put it, son? because i have another nail in my heart: there's a bad ford in that forest; whenever my army went through there, they never came back! if i could only get rid of this trouble, i wouldn't need anything else in the world.","- ¿cómo te lo digo, hijo? porque tengo otro clavo en el corazón: hay un mal vado en ese bosque; ¡siempre que mi ejército pasó por allí, nunca regresó! si pudiera librarme de este problema, no necesitaría nada más en el mundo.","- comment dirais-je, mon fils ? parce que j'ai un autre clou dans le cœur: il y a un mauvais gué dans cette forêt; chaque fois que mon armée est passée par là, elle n'est jamais revenue ! si je pouvais me débarrasser de ce problème, je n'aurais besoin de rien d'autre au monde.",train
750,"ce fel de vad era acela? de câte ori era să treacă suflet de om pe acolo, se pomenea o grindină, o furtună, de ziceai că-i sfârșitul lumii. se afla aci o babă-vrăjitoare, trăind în coliba ei. cum începea a tuna, fulgera și-a trăsni, vrăjitoarea îi momea pe trecători să se adăpostească în coliba ei și să aștepte, chipurile până trece furtuna. odată intrați oamenii la dânsa, baba dădea cu mătura și-i înmărmurea pe toți de-a-n-picioarele.","țe eara calea ațea? di cîte ori vrea s-treacă vîrnu suflit di om pri-aclo, apîrñea nă grindină, nă furtună, di dzîțeai că cheare lumea. tu ațel loc se-afla nă moașe măγistră, cu căliva a l'ei. cît bagă s-bumbuneadză, s-ascapiră și si sfuldziră, măγistra îl'i acl'eamă tricătoril'i să se-acumtină tu căliva-l'i și s-adastă, taha, pînă s-treacă furtuna. ună vinită oamiñil'i tu călivă, trădzea nă oară cu metura și-l'i mărmurisea di-mproști.","țe eara calea ațea? di cîte ori vrea s-treacă vîrnu suflit di om pri-aclo, apîrńea nă grindină, nă furtună, di d̦îțeai că cheare lumea. tu ațel loc se-afla nă moașe măyistră, cu căliva a ľei. cît bagă s-bumbunead̦ă, s-ascapiră și si sfuld̦iră, măyistra îľi acľeamă tricătoriľi să se-acumtină tu căliva-ľi și s-adastă, taha, pînă s-treacă furtuna. ună vinită oamińiľi tu călivă, trăd̦ea nă oară cu metura și-ľi mărmurisea di-mproști.","tse eara calea atsea? di cãte ori vrea s-treacã vãrnu suflit di om pri-aclo, apãrnjea nã grindinã, nã furtunã, di dzãtseai cã cheare lumea. tu atsel loc se-afla nã moashe mãyistrã, cu cãliva a ljei. cãt bagã s-bumbuneadzã, s-ascapirã shi si sfuldzirã, mãyistra ãlji acljeamã tricãtorilji sã se-acumtinã tu cãliva-lji shi s-adastã, taha, pãnã s-treacã furtuna. unã vinitã oaminjilji tu cãlivã, trãdzea nã oarã cu metura shi-lji mãrmurisea di-mproshti.","what kind of vad was that? whenever a human soul would pass through there, there would be a hailstorm, a storm, you'd think it was the end of the world. there was an old witch living in her hut. as it began to thunder, lightning and thunder, the witch would beg passers-by to take shelter in her hut and wait, supposedly until the storm passed. once the people were inside her house, the old woman would sweep them all off their feet.","¿qué clase de vad era ese? cada vez que un alma humana pasaba por allí, había una granizada, una tormenta, se creía que era el fin del mundo. había una vieja bruja viviendo en su choza. cuando empezaba a tronar, relámpagos y truenos, la bruja rogaba a los transeúntes que se refugiaran en su choza y esperaran, supuestamente hasta que pasara la tormenta. una vez que la gente estaba dentro de su casa, la anciana los arrasaba a todos.","quel genre de vad était-ce ? chaque fois qu'une âme humaine passait par là, il y avait une tempête de grêle, une tempête, on aurait cru que c'était la fin du monde. une vieille sorcière vivait dans sa hutte. lorsqu'il commençait à y avoir de l'orage, des éclairs et du tonnerre, la sorcière priait les passants de s'abriter dans sa hutte et d'attendre, soi-disant, que l'orage passe. une fois que les gens étaient à l'intérieur de sa maison, la vieille femme les balayait tous.",train
751,"dona, ca să nu-i strice bucuria socrului său, își chemă sălbăticiunile, și hai să vadă ce e, fie ce-o fi!","dona, s-nu-l'i aspargă chefea a socru-sui, ș-anană zulăchile, și ai să s-ducă ș-nîs, și țe s-pată, s-pată!","dona, s-nu-ľi aspargă chefea a socru-sui, ș-anană zulăchile, și ai să s-ducă ș-nîs, și țe s-pată, s-pată!","dona, s-nu-lji aspargã chefea a socru-sui, sh-ananã zulãchile, shi ai sã s-ducã sh-nãs, shi tse s-patã, s-patã!","dona, so as not to spoil her father-in-law's joy, called her wild beasts, and let them see what it is, whatever it is!","doña, para no estropear la alegría de su suegro, llamó a sus fieras, y -¡que vean lo que es, sea lo que sea!","dona, pour ne pas gâcher la joie de son beau-père, l'appela bêtes sauvages, et qu'ils voient ce que c'est, quoi que ce soit !",train
752,"abia sosiră acolo și poftim! începe un bubuit și-o furtună, de se zgâlțâia pământul din țâțâni. iat-o și pe blestemata ceea de babă, cu vocea ei dogită, chemându-l în colibă până se liniștește furtuna.","neagiumță ghine, și: na! acață nă bumbunidzare ș-nă furtună, di s-cutrimbura tut loclu. na-u și îmbogra di moașe, cu boațea l'ei îndîcînită, iu lu acl'eamă tu călivă pînă s-treacă furtuna.","neagiumță ghine, și: na! acață nă bumbunid̦are ș-nă furtună, di s-cutrimbura tut loclu. na-u și îmbogra di moașe, cu boațea ľei îndîcînită, iu lu acľeamă tu călivă pînă s-treacă furtuna.","neagiumtsã ghine, shi: na! acatsã nã bumbunidzare sh-nã furtunã, di s-cutrimbura tut loclu. na-u shi ãmbogra di moashe, cu boatsea ljei ãndãcãnitã, iu lu acljeamã tu cãlivã pãnã s-treacã furtuna.","they just got there and lo and behold! a thunder and a storm starts, shaking the ground from the boobs. and there's that damned old woman, with her hoarse voice, calling him into the hut until the storm calms down.","acaban de llegar y -¡he aquí! empieza un trueno y una tormenta que sacude el suelo de las tetas. y ahí está esa maldita vieja, con su voz ronca, llamándole para que entre en la cabaña... hasta que la tormenta se calme.","ils viennent d'arriver, et voilà qu'un tonnerre et une tempête se déclenchent, faisant trembler le sol à partir des seins. et voilà cette maudite vieille femme, avec sa voix rauque, qui l'appelle dans la hutte jusqu'à ce que l'orage se calme.",train
753,"doar el a intrat la adăpost, împreună cu fiarele, și când dă baba o dată cu mătura, marmoră i-a făcut!","ună viñită a lui aclo cu zulăchile, și cîndu tradze moașa nă oară cu metura, îl'i mărmurisi!","ună vińită a lui aclo cu zulăchile, și cîndu trad̦e moașa nă oară cu metura, îľi mărmurisi!","unã vinjitã a lui aclo cu zulãchile, shi cãndu tradze moasha nã oarã cu metura, ãlji mãrmurisi!","only he entered the shelter, together with the beasts, and when the old woman sweeps once, he makes marble!","sólo entró en el refugio, junto con las bestias, y -cuando la vieja barre una vez, ¡hace mármol!","seulement, il est entré dans l'abri avec les bêtes et quand la vieille femme balaie une fois, il fait du marbre !",train
754,"în clipa aceea, inelul fratelui lui dona, că frați se socoteau voinicii ăștia doi sângeră pe loc! iar băiatul înțelese că nu e lucru curat, și că frățâne-său trebuie să i se fi întâmplat mare silnicie. de-aia o și porni, să-l scape de necaz, unde-o fi el.","atumțea, nelu a frati-sui, că fraț s-fîțea isape aești doi ficiori, și sîndzină ună-și-ună. aduchi nîs că nu-i lucru curat și că frati-su prinde si se-află tu mare angusă. si scoală si s-ducă s-lu-ascapă.","atumțea, nelu a frati-sui, că fraț s-fîțea isape aești doi ficiori, și sînd̦ină ună-și-ună. aduchi nîs că nu-i lucru curat și că frati-su prinde si se-află tu mare angusă. si scoală si s-ducă s-lu-ascapă.","atumtsea, nelu a frati-sui, cã frats s-fãtsea isape aeshti doi ficiori, shi sãndzinã unã-shi-unã. aduchi nãs cã nu-i lucru curat shi cã frati-su prinde si se-aflã tu mare angusã. si scoalã si s-ducã s-lu-ascapã.","at that moment, dona's brother's ring for brothers these two men considered themselves bled on the spot! and the boy understood that it was not a clean thing, and that his brother must have been very ill. that's why he started it, to get him out of trouble, wherever he was.","en aquel momento, el anillo del hermano de doña -por hermanos se consideraban aquellos dos hombres- ¡sangró en el acto! y el muchacho comprendió que no era cosa limpia, y que su hermano debía de estar muy enfermo. por eso lo empezó, para sacarlo del apuro, estuviera donde estuviera.","à ce moment-là, la bague du frère de dona car ces deux hommes se considéraient comme des frères saigna sur place ! et le garçon comprit que ce n'était pas propre et que son frère devait être très malade. c'est pour cela qu'il a commencé, pour lui éviter des ennuis, où qu'il soit.",train
755,"haida-haida, din om în om, îi dădu de urmă, și ajunse în satul împăratului. împăratul, când îl văzu în codru, cu sălbăticiunile după el, crezu că e ginere-său. doar când luă seama că fiarele nu erau parte bărbătească, înțelese cine e și îi povesti tot ce-a fost.","calea-calea, di om-om, îl'i deade di urmă și agiumse tu hoara amirălui. amirălu, cîndu-l vidzu-n codru cu zulăchile, l'i si păru că i dzinir-su vinit. mași cîndu băgă oară că nu suntu zulăchi-mascuri, aduchi cari easte și-l'i spuse țe cură.","calea-calea, di om-om, îľi deade di urmă și agiumse tu hoara amirălui. amirălu, cîndu-l vid̦u-n codru cu zulăchile, ľi si păru că i d̦inir-su vinit. mași cîndu băgă oară că nu suntu zulăchi-mascuri, aduchi cari easte și-ľi spuse țe cură.","calea-calea, di om-om, ãlji deade di urmã shi agiumse tu hoara amirãlui. amirãlu, cãndu-l vidzu-n codru cu zulãchile, lji si pãru cã i dzinir-su vinit. mashi cãndu bãgã oarã cã nu suntu zulãchi-mascuri, aduchi cari easte shi-lji spuse tse curã.","haida-haida, man to man, followed him, and came to the king's village. when the emperor saw him in the forest, with the wild beasts after him, he thought he was his son-in-law. only when he realized that the beasts were not part man, did he understand who he was, and told him all about it.","haida-haida, hombre a hombre, le siguió y llegó a la aldea del rey. cuando el emperador lo vio en el bosque, con las bestias salvajes tras él, pensó que era su yerno. sólo cuando se dio cuenta de que las bestias no eran parte del hombre, comprendió quién era, y se lo contó todo.","haida-haida, d'homme à homme, le suivit et arriva au village du roi. lorsque l'empereur le vit dans la forêt, avec les bêtes sauvages à ses trousses, il pensa qu'il s'agissait de son gendre. ce n'est que lorsqu'il comprit que les bêtes ne faisaient pas partie de l'homme qu'il comprit qui il était et qu'il lui raconta tout.",train
756,"asta voia și tovarășul lui dona, ca să știe ce are de făcut.","aestă vrea și soțlu al dona, și u-angană cîtră aclo cățaua.","aestă vrea și soțlu al dona, și u-angană cîtră aclo cățaua.","aestã vrea shi sotslu al dona, shi u-anganã cãtrã aclo cãtsaua.","that's what dona's companion wanted, so he'd know what to do.","eso es lo que quería el compañero de dona, para saber qué hacer.","c'est ce que voulait le compagnon de dona, pour qu'il sache quoi faire.",train
757,"și, îndată ce se vede în pădurea cu pricina, se pornesc din nou grindina și furtuna, turbate. baba-vrăjitoare îl chemă și pe el în colibă, să stea acolo pân' ce trece furtuna. atâta că, isteț la minte, băiatul i-o întoarce cam așa:","cît agiumse ș-nîs aclo, acață iar s-da grindiñi ș-furtună turbată. moașa-măγistră ahiurhi s-lu acl'eamă tu călivă, s-adastă pînă s-treacă furtuna. ghine ma nîs, mălăγar, îl'i dzîțe:","cît agiumse ș-nîs aclo, acață iar s-da grindińi ș-furtună turbată. moașa-măyistră ahiurhi s-lu acľeamă tu călivă, s-adastă pînă s-treacă furtuna. ghine ma nîs, mălăyar, îľi d̦îțe:","cãt agiumse sh-nãs aclo, acatsã iar s-da grindinji sh-furtunã turbatã. moasha-mãyistrã ahiurhi s-lu acljeamã tu cãlivã, s-adastã pãnã s-treacã furtuna. ghine ma nãs, mãlãyar, ãlji dzãtse:","and as soon as he sees himself in the forest in question, the hail and storm start up again, raging. the old hag called him into the hut to stay there until the storm passed. so, clever in mind, the boy turns it on her like this:","y en cuanto se ve en el bosque en cuestión, el granizo y la tormenta vuelven a arreciar con furia. la vieja bruja le llama a la cabaña para que se quede allí hasta que pase la tormenta. así que, listo de mente, el chico la vuelve contra ella de esta manera:","et dès qu'il se voit dans la forêt en question, la grêle et la tempête reprennent de plus belle. la vieille sorcière l'a appelé dans la hutte pour qu'il y reste jusqu'à ce que l'orage passe. alors, malin, le garçon se retourne contre elle de la façon suivante:",train
758,"- lasă, mamaie, n-avea grija mea, că vin eu!","- aradă, maie, ș-nu ț-u mîcă inima, că va γin!","- aradă, maie, ș-nu ț-u mîcă inima, că va yin!","- aradã, maie, sh-nu ts-u mãcã inima, cã va yin!","- forget it, granny, don't worry about me, i'll come!","- olvídalo, abuela, no te preocupes por mí, ¡ya voy!","- oublie ça, grand-mère, ne t'inquiète pas pour moi, je viendrai !",train
759,"și n-a intrat în colibă, până n-a stat furtuna, și grindina. ei, dar măturoiul babei avea putere numai cât ținea grindina, și furtuna. cum treceau astea, nu mai făceau doi bani nici vraja, nici mătura ei. iar astea nu țineau mai mult de trei ceasuri.","ș-acși, el nu duse pînă nu tricu furtuna ș-grindina. ghine ma, metura a li moașe avea puteare mași cît țînea grindina ș-furtuna. ună țe trițea furtuna, doi paradz nu-l'i fățea amaea ș-metura l'ei. iar furtuna nu țînea ma multu di trei sîhăț putes.","ș-acși, el nu duse pînă nu tricu furtuna ș-grindina. ghine ma, metura a li moașe avea puteare mași cît țînea grindina ș-furtuna. ună țe trițea furtuna, doi parad̦ nu-ľi fățea amaea ș-metura ľei. iar furtuna nu țînea ma multu di trei sîhăț putes.","sh-acshi, el nu duse pãnã nu tricu furtuna sh-grindina. ghine ma, metura a li moashe avea puteare mashi cãt tsãnea grindina sh-furtuna. unã tse tritsea furtuna, doi paradz nu-lji fãtsea amaea sh-metura ljei. iar furtuna nu tsãnea ma multu di trei sãhãts putes.","and he didn't go into the hut until the storm and the hail had stopped. well, the old woman's dill was only as strong as the hail and the storm. as soon as these things passed, neither her spell nor her broom was worth a damn. and these didn't last more than three hours.","y no entró en la cabaña hasta que cesaron la tormenta y el granizo. bueno, el eneldo de la vieja sólo era tan fuerte como el granizo y la tormenta. en cuanto estas cosas pasaban, ni su hechizo ni su escoba valían nada. y éstos no duraron más de tres horas.","et il ne rentra dans la cabane que lorsque l'orage et la grêle eurent cessé. l'aneth de la vieille femme n'avait que la force de la grêle et de l'orage. dès que ces choses sont passées, ni son sort ni son balai ne valent plus rien. et cela ne dura pas plus de trois heures.",train
760,"se repede voinicul în cele din urmă la babă, cu fiarele lui, o apucă pe vrăjitoare de ceafă, și-i șuieră:","sîrgl'eaște, tu sone, gionile, cu zulăchile, și u-acață măγistra di iacă, și-l'i fațe:","sîrgľeaște, tu sone, gionile, cu zulăchile, și u-acață măyistra di iacă, și-ľi fațe:","sãrgljeashte, tu sone, gionile, cu zulãchile, shi u-acatsã mãyistra di iacã, shi-lji fatse:","the rogue finally rushes to the old woman with his beasts, grabs the witch by the back of her neck, and hisses:","finalmente, el pícaro se abalanza sobre la anciana con sus bestias, agarra a la bruja por la nuca y sisea:","le voyou se précipite enfin vers la vieille femme avec ses bêtes, saisit la sorcière par la nuque et siffle:",train
761,"- îl vreau pe frate-meu, zgripțuroaico, altfel te fac fărâme!","- frate-ñiu, cățauă, că altă soie ti diñic cumăț-cumăț!","- frate-ńiu, cățauă, că altă soie ti dińic cumăț-cumăț!","- frate-njiu, cãtsauã, cã altã soie ti dinjic cumãts-cumãts!","- i want my brother, you little scrounger, or i'll break you!","- ¡quiero a mi hermano, pequeño gorrón, o te romperé!","- je veux mon frère, espèce de petit débrouillard, ou je te casse la figure !",train
